iter	Passed	Remaining
187	2818	1496361
188	2833	1496113
189	2846	1495215
190	2858	1493662
191	2876	1495167
192	2890	1494713
193	2901	1492910
194	2913	1491411
195	2926	1490032
196	2939	1489030
197	2950	1487215
198	2962	1485941
199	2977	1485924
200	2991	1485484
201	3008	1486378
202	3024	1486661
203	3039	1486860
204	3054	1487151
205	3067	1485803
206	3081	1485660
207	3096	1485558
208	3109	1484639
209	3126	1485717
210	3141	1485502
211	3154	1484660
212	3170	1485403
213	3185	1485276
214	3197	1483874
215	3213	1484308
216	3226	1483569
217	3238	1482446
218	3251	1481660
219	3265	1480870
220	3278	1480303
221	3292	1479661
222	3307	1480096
223	3322	1479739
224	3338	1480317
225	3350	1479163
226	3362	1477877
227	3378	1478269
228	3391	1477675
229	3404	1477000
230	3419	1476736
231	3433	1476617
232	3447	1476206
233	3462	1476106
234	3475	1475493
235	3489	1474935
236	3503	1474652
237	3517	1474402
238	3532	1474493
239	3545	1473849
240	3559	1473556
241	3577	1474757
242	3592	1474989
243	3608	1475435
244	3623	1475251
245	3639	1475677
246	3654	1475936
247	3666	1474751
248	3680	1474494
249	3694	1473913
250	3707	1473552
251	3721	1473226
252	3736	1473153
253	3750	1472880
254	3766	1473178
255	3780	1472842
256	3793	1472208
257	3806	1471751
258	3821	1471613
259	3834	1471039
260	3848	1470633
261	3859	1469412
262	3873	1469079
263	3887	1468692
264	3904	1469506
265	3918	1469098
266	3932	1468910
267	3948	1469393
268	3961	1468819
269	3975	1468610
270	3989	1468284
271	4002	1467352
272	4014	1466563
273	4029	1466575
274	4043	1466397
275	4056	1465822
276	4071	1465850
277	4085	1465453
278	4100	1465460
279	4115	1465740
280	4131	1466047
281	4146	1466412
282	4159	1465596
283	4173	1465214
284	4188	1465481
285	4200	1464481
286	4211	1463364
287	4236	1466831
288	4263	1470892
289	4285	1473546
290	4311	1477200
291	4329	1478309
292	4345	1478801
293	4364	1480327
294	4384	1481984
295	4418	1488329
296	4433	1488425
297	4449	1488827
298	4464	1488541
299	4488	1491660
300	4509	1493639
301	4529	1495422
302	4542	1494773
303	4558	1494960
304	4574	1495127
305	4590	1495569
306	4604	1495272
307	4616	1494271
308	4628	1493396
309	4643	1493374
310	4664	1495039
311	4676	1494165
312	4691	1494046
313	4704	1493678
314	4718	1493373
315	4732	1492927
316	4747	1492881
317	4761	1492702
318	4776	1492471
319	4788	1491582
320	4801	1491131
321	4814	1490522
322	4828	1490078
323	4842	1489854
324	4857	1489781
325	4874	1490273
326	4890	1490634
327	4905	1490817
328	4923	1491705
329	4937	1491318
330	4952	1491292
331	4969	1491911
332	4985	1492223
333	5001	1492416
334	5014	1491942
335	5027	1491322
336	5043	1491520
337	5058	1491427
338	5069	1490323
339	5081	1489499
340	5095	1489262
341	5108	1488492
342	5122	1488401
343	5134	1487577
344	5151	1487903
345	5164	1487523
346	5178	1487302
347	5191	1486741
348	5206	1486530
349	5222	1486905
350	5235	1486424
351	5250	1486426
352	5265	1486500
353	5282	1486873
354	5296	1486557
355	5313	1487139
356	5327	1487048
357	5340	1486489
358	5352	1485590
359	5365	1485072
360	5380	1485050
