	Trees	rmse of log
278	279	0.2635286562348397
279	280	0.26295142385453885
280	281	0.26318947925031794
281	282	0.26400023336479733
282	283	0.26268651565282186
283	284	0.2610948623730523
284	285	0.2639256273778166
285	286	0.26248462058030136
286	287	0.2632001302222495
287	288	0.2623287434691851
288	289	0.2658402605507224
289	290	0.2644199594480003
290	291	0.2636962877223237
291	292	0.2627428383480663
292	293	0.263650014854708
293	294	0.2630349463918449
294	295	0.2628838367217931
295	296	0.26452951561768795
296	297	0.26324144516383563
297	298	0.2636539597073722
298	299	0.2641772795624572
299	300	0.2633047250882831
300	301	0.2638542943539583
301	302	0.2627830355014809
302	303	0.2637832164907468
303	304	0.2633600743274921
304	305	0.2608884388109572
305	306	0.2633766691553495
306	307	0.2633647536196175
307	308	0.2638461691818888
308	309	0.263283308017495
309	310	0.262146403944529
310	311	0.26352499740285845
311	312	0.2625652866473833
312	313	0.2629150007569646
313	314	0.2617211743346202
314	315	0.262458348908678
315	316	0.2632152211778107
316	317	0.26439866396661127
317	318	0.2628197125649714
318	319	0.26410910514702507
319	320	0.26368863663927283
320	321	0.2638255305942936
321	322	0.2633716243702298
322	323	0.2627896322207173
323	324	0.2634109777151009
324	325	0.2627411093147855
325	326	0.26340159613227704
326	327	0.26264182910933404
327	328	0.2622106889800982
328	329	0.263150010169223
329	330	0.26251095709852157
330	331	0.2625961368183915
331	332	0.26252985525032946
332	333	0.26324097422650466
333	334	0.264452250725588
334	335	0.2629330417792684
335	336	0.263416377146223
336	337	0.2638399655976123
337	338	0.26360671224384913
338	339	0.262769191296812
339	340	0.2627742747652136
340	341	0.26378586408028565
341	342	0.26275598363384284
342	343	0.262584333998384
343	344	0.2632300183774791
344	345	0.2633562571726849
345	346	0.26359005488727716
346	347	0.26558879980029215
347	348	0.26322281835886957
348	349	0.262598075424959
349	350	0.2632037928367793
350	351	0.2647582029023726
351	352	0.26301347521494034
352	353	0.2634950578136639
353	354	0.26428992921298833
354	355	0.26310302979925576
